"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2003","2003",1.05088,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2004","2004",1.10216,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2005","2005",1.0255,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2006","2006",1.08241,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2007","2007",1.07507,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2008","2008",1.15103,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2009","2009",1.264,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2010","2010",1.13499,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2011","2011",1.04128,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2012","2012",1.06969,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","PER","Peru","2013","2013",1.30061,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","MNG","Mongolia","2004","2004",1.08437,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","MNG","Mongolia","2007","2007",1.25292,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","MNG","Mongolia","2009","2009",1.40862,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","MNG","Mongolia","2010","2010",1.24935,,
"XGDP_1_FSGOV","Government expenditure on primary education as % of GDP (%)","MNG","Mongolia","2011","2011",1.5088,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as % of GDP (%)","ERI","Eritrea","2004","2004",,"a","Category not applicable"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as % of GDP (%)","HUN","Hungary","2003","2003",1.20623,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as % of GDP (%)","HUN","Hungary","2004","2004",1.00585,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as % of GDP (%)","HUN","Hungary","2005","2005",1.01688,,
