,"﻿""EDULIT_IND""",LOCATION,Country,Time,Value
0,EA_2T8_AG25T99,BEL,Belgium,2006,76.78746
1,EA_2T8_AG25T99,BEL,Belgium,2008,78.32391
2,EA_2T8_AG25T99,BEL,Belgium,2009,79.42992
3,EA_2T8_AG25T99,BEL,Belgium,2010,79.64149
4,EA_2T8_AG25T99,BEL,Belgium,2011,80.10136999999999
5,EA_2T8_AG25T99,BEL,Belgium,2012,80.29019
6,EA_2T8_AG25T99,BEL,Belgium,2013,81.58793
7,EA_3T8_AG25T99_F,LTU,Lithuania,2005,71.76451999999999
8,EA_3T8_AG25T99_F,LTU,Lithuania,2006,74.42549
9,EA_3T8_AG25T99_F,LTU,Lithuania,2007,74.80903
10,EA_3T8_AG25T99_F,LTU,Lithuania,2008,75.92593000000001
11,EA_3T8_AG25T99_F,LTU,Lithuania,2009,76.98704000000001
12,EA_3T8_AG25T99_F,LTU,Lithuania,2010,78.11884
13,EA_3T8_AG25T99_F,LTU,Lithuania,2011,79.10549
14,EA_3T8_AG25T99_F,LTU,Lithuania,2012,79.20188
15,EA_3T8_AG25T99_F,LTU,Lithuania,2013,80.10089
16,EA_3T8_AG25T99_M,USA,United States of America,2004,84.84824
17,EA_3T8_AG25T99_M,USA,United States of America,2005,84.92673
18,EA_3T8_AG25T99_M,USA,United States of America,2006,85.01268
19,EA_3T8_AG25T99_M,USA,United States of America,2008,85.95383000000001
20,EA_3T8_AG25T99_M,USA,United States of America,2009,86.25327
21,EA_3T8_AG25T99_M,USA,United States of America,2010,86.60009000000001
22,EA_3T8_AG25T99_M,USA,United States of America,2011,87.10221
23,EA_3T8_AG25T99_M,USA,United States of America,2012,87.29109
24,EA_3T8_AG25T99_M,USA,United States of America,2013,87.63709
25,EA_2T8_AG25T99_GPI,OMN,Oman,2003,0.7548699999999999
26,EA_2T8_AG25T99_GPI,OMN,Oman,2008,0.82478
27,EA_2T8_AG25T99_GPI,OMN,Oman,2010,0.96398
28,EA_4T8_AG25T99_M,BTN,Bhutan,2012,7.947
29,EA_3T8_AG25T99_GPI,IRN,Iran (Islamic Republic of),2006,0.89323
30,EA_3T8_AG25T99_GPI,IRN,Iran (Islamic Republic of),2008,0.9424399999999999
31,EA_3T8_AG25T99_GPI,IRN,Iran (Islamic Republic of),2010,0.98762
32,EA_3T8_AG25T99_GPI,IRN,Iran (Islamic Republic of),2012,0.9721200000000001
33,EA_3T8_AG25T99_GPI,IRN,Iran (Islamic Republic of),2013,0.9894299999999999
34,EA_8_AG25T99_F,RWA,Rwanda,2012,0.011040000000000001
35,EA_3T8_AG25T99_GPI,MDV,Maldives,2006,0.63381
36,EA_5T8_AG25T99_GPI,RUS,Russian Federation,2010,1.0665799999999999
37,EA_5T8_AG25T99_M,ISR,Israel,2006,39.4649
38,EA_5T8_AG25T99_M,ISR,Israel,2007,39.60136
39,EA_5T8_AG25T99_M,ISR,Israel,2009,40.12916
40,EA_5T8_AG25T99_M,ISR,Israel,2010,40.48514
41,EA_5T8_AG25T99_M,ISR,Israel,2011,41.86646
42,EA_5T8_AG25T99_M,ISR,Israel,2012,41.53913
